sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-14 03:09:12.509049,2025-02-14 03:09:13.008975,1739473752.509049,1739473753.008975,1.508832,2.008758,0.499927,6,10,390,604,65,64,65,52,65.0,60.4,6240.91,9665.409,78,84,13,12,13,0,13.0,8.4,0.09989118576049805,0.05554734336005317,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.497,0.0,0.0,0.000222,0.060257
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-14 03:09:12.799948,2025-02-14 03:09:13.242878,1739473752.799948,1739473753.242878,1.799731,2.242661,0.442931,18,15,1083,933,65,65,52,52,60.167,62.2,19560.61,16851.384,147,153,13,13,0,0,8.167,10.2,0.026039698544670555,0.028742858341761997,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.204,0.2,0.0,0.0,0.030888,0.028759
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-14 03:09:13.005852,2025-02-14 03:09:13.050928,1739473753.005852,1739473753.050928,2.005635,2.050711,0.045077,6,7,390,436,65,64,65,52,65.0,62.286,69214.697,77378.481,78,72,13,12,13,0,13.0,10.286,0.000341796875,0.007512688636779785,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.857,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.001,0.043,0.0,0.0,0.000263,0.00725
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-14 03:09:13.009119,2025-02-14 03:09:13.050927,1739473753.009119,1739473753.050927,2.008902,2.05071,0.041809,4,4,260,244,65,64,65,52,65.0,61.0,49750.185,46688.635,52,36,13,12,13,0,13.0,9.0,0.00041063626607259113,0.013829310735066732,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.041,0.0,0.0,0.000174,0.010321
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-14 03:09:13.400740,2025-02-14 03:09:13.846968,1739473753.40074,1739473753.846968,2.400523,2.846751,0.446229,18,15,1083,933,65,65,52,52,60.167,62.2,19416.039,16726.837,147,153,13,13,0,0,8.167,10.2,0.026248707490808824,0.028767142977033342,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.199,0.199,0.0,0.0,0.03109,0.028684
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-14 03:09:13.508986,2025-02-14 03:09:14.008813,1739473753.508986,1739473754.008813,2.508769,3.008596,0.499828,16,19,1040,1180,65,64,65,52,65.0,62.105,16645.729,18886.5,208,192,13,12,13,0,13.0,10.105,0.033307123184204104,0.02775977717505561,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.842,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.494,0.0,0.0,0.000199,0.029991
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-14 03:09:13.512056,2025-02-14 03:09:14.010142,1739473753.512056,1739473754.010142,2.511839,3.009925,0.498087,10,13,650,796,65,64,65,52,65.0,61.231,10439.944,12784.916,130,120,13,12,13,0,13.0,9.231,0.05532566706339518,0.04149015744527181,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.769,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.496,0.0,0.0,0.000144,0.04486
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-14 03:09:14.000536,2025-02-14 03:09:14.442813,1739473754.000536,1739473754.442813,3.000319,3.442596,0.442278,18,15,1083,933,65,65,52,52,60.167,62.2,19589.491,16876.265,147,153,13,13,0,0,8.167,10.2,0.0260162914500517,0.028675641332353865,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.198,0.2,0.0,0.0,0.030683,0.028959
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-14 03:09:14.050791,2025-02-14 03:09:14.510791,1739473754.050791,1739473754.510791,3.050574,3.510574,0.460001,8,10,520,616,65,64,65,52,65.0,61.6,9043.458,10713.019,104,96,13,12,13,0,13.0,9.6,0.00035572052001953125,0.0510915650261773,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,0.000143
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-14 03:09:14.050796,2025-02-14 03:09:14.512575,1739473754.050796,1739473754.512575,3.050579,3.512358,0.46178,5,7,325,424,65,64,65,52,65.0,60.571,5630.388,7345.491,65,60,13,12,13,0,13.0,8.571,0.0003567337989807129,0.07693548997243245,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000187,0.000149
