sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:02:53.014141,2025-02-13 16:02:53.509166,1739433773.014141,1739433773.509166,1.613859,2.108884,0.495026,16,19,1040,1180,65,64,65,52,65.0,62.105,16807.201,19069.709,208,192,13,12,13,0,13.0,10.105,0.03298427263895671,0.02749454975128174,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.842,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.001,0.489,0.0,0.0,0.000189,0.02975
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:02:53.016957,2025-02-13 16:02:53.511170,1739433773.016957,1739433773.51117,1.616675,2.110888,0.494214,10,13,650,796,65,64,65,52,65.0,61.231,10521.761,12885.11,130,120,13,12,13,0,13.0,9.231,0.05489365259806315,0.04117015997568766,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.769,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.001,0.491,0.0,0.0,0.000207,0.044484
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:02:53.201513,2025-02-13 16:02:53.644328,1739433773.201513,1739433773.644328,1.801231,2.244046,0.442816,18,15,1083,933,65,65,52,52,60.167,62.2,19565.686,16855.757,147,153,13,13,0,0,8.167,10.2,0.02603330331690171,0.02866184711456299,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.199,0.199,0.0,0.0,0.030937,0.028617
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:02:53.552205,2025-02-13 16:02:54.052199,1739433773.552205,1739433774.052199,2.151923,2.651917,0.499995,5,8,325,476,65,64,65,52,65.0,59.5,5200.054,7616.079,65,60,13,12,13,0,13.0,7.5,0.00030875205993652344,0.07142768587384905,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.625,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.041,0.0,0.0,0.000173,0.007006
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:02:53.552214,2025-02-13 16:02:54.052205,1739433773.552214,1739433774.052205,2.151932,2.651923,0.499992,8,11,520,668,65,64,65,52,65.0,60.727,8320.13,10688.167,104,96,13,12,13,0,13.0,8.727,0.0003859996795654297,0.049999117851257324,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.043,0.0,0.0,0.000169,0.004957
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:02:53.800804,2025-02-13 16:02:54.244305,1739433773.800804,1739433774.244305,2.400522,2.844023,0.443502,18,15,1083,933,65,65,52,52,60.167,62.2,19535.425,16829.688,147,153,13,13,0,0,8.167,10.2,0.026073343613568473,0.02877628803253174,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.199,0.2,0.0,0.0,0.031019,0.028752
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:02:54.400386,2025-02-13 16:02:54.844266,1739433774.400386,1739433774.844266,3.000104,3.443984,0.443881,18,15,1083,933,65,65,52,52,60.167,62.2,19518.752,16815.324,147,153,13,13,0,0,8.167,10.2,0.02609711534836713,0.028751066752842495,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.199,0.2,0.0,0.0,0.03088,0.028802
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:02:54.505083,2025-02-13 16:02:55.005070,1739433774.505083,1739433775.00507,3.104801,3.604788,0.499988,12,15,780,924,65,64,65,52,65.0,61.6,12480.302,14784.358,156,144,13,12,13,0,13.0,9.6,0.045431267131458626,0.03569921425410679,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.001,0.494,0.0,0.0,0.000265,0.038542
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:02:54.509753,2025-02-13 16:02:55.007430,1739433774.509753,1739433775.00743,3.109471,3.607148,0.497678,10,13,650,796,65,64,65,52,65.0,61.231,10448.521,12795.42,130,120,13,12,13,0,13.0,9.231,0.05527724160088433,0.04146025578180949,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.769,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.495,0.0,0.0,0.00014,0.044793
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:02:55.000015,2025-02-13 16:02:55.444264,1739433775.000015,1739433775.444264,3.599733,4.043982,0.44425,18,15,1083,933,65,65,52,52,60.167,62.2,19502.536,16801.354,147,153,13,13,0,0,8.167,10.2,0.02611547357895795,0.028759138924734935,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.21,0.2,0.0,0.0,0.03121,0.028706
