sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:38:57.056321,2025-02-13 16:38:57.556251,1739435937.056321,1739435937.556251,1.611993,2.111923,0.499931,5,8,325,476,65,64,65,52,65.0,59.5,5200.716,7617.049,65,60,13,12,13,0,13.0,7.5,0.00034546852111816406,0.07141859190804618,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.625,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.044,0.0,0.0,0.000167,0.007428,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:57.200843,2025-02-13 16:38:57.644261,1739435937.200843,1739435937.644261,1.756515,2.199933,0.443419,18,15,1083,933,65,65,52,52,60.167,62.2,19539.091,16832.846,147,153,13,13,0,0,8.167,10.2,0.02608339926775764,0.028707214764186313,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.198,0.2,0.0,0.0,0.031047,0.028672,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:57.509420,2025-02-13 16:38:58.009094,1739435937.50942,1739435938.009094,2.065092,2.564766,0.499675,6,9,390,552,65,64,65,52,65.0,61.333,6244.058,8837.743,78,84,13,12,13,0,13.0,9.333,0.09985117912292481,0.06245926022529602,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.778,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.498,0.0,0.0,0.000185,0.068019,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:57.801108,2025-02-13 16:38:58.244418,1739435937.801108,1739435938.244418,2.35678,2.80009,0.443311,18,15,1083,933,65,65,52,52,60.167,62.2,19543.841,16836.938,147,153,13,13,0,0,8.167,10.2,0.026077060138478,0.02856792722429548,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.197,0.202,0.0,0.0,0.031215,0.028752,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:58.009422,2025-02-13 16:38:58.507617,1739435938.009422,1739435938.507617,2.565094,3.063289,0.498196,14,15,910,936,65,64,65,52,65.0,62.4,14612.725,15030.231,182,156,13,12,13,0,13.0,10.4,0.03832268714904785,0.035567709377833774,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.867,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.494,0.0,0.0,0.00017,0.036103,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:38:58.010945,2025-02-13 16:38:58.509457,1739435938.010945,1739435938.509457,2.566617,3.065129,0.498513,10,13,650,796,65,64,65,52,65.0,61.231,10431.021,12773.989,130,120,13,12,13,0,13.0,9.231,0.05537411901685926,0.04152433077494303,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.769,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.496,0.0,0.0,0.000163,0.045093,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:58.400914,2025-02-13 16:38:58.844387,1739435938.400914,1739435938.844387,2.956586,3.400059,0.443474,18,15,1083,933,65,65,52,52,60.167,62.2,19536.654,16830.746,147,153,13,13,0,0,8.167,10.2,0.026086652980131263,0.02864992618560791,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.199,0.2,0.0,0.0,0.030967,0.028686,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 16:38:58.549366,2025-02-13 16:38:59.010160,1739435938.549366,1739435939.01016,3.105038,3.565832,0.460795,8,10,520,616,65,64,65,52,65.0,61.6,9027.876,10694.561,104,96,13,12,13,0,13.0,9.6,0.0003667218344552176,0.05117877324422201,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000161,0.00018,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 16:38:58.552296,2025-02-13 16:38:59.011945,1739435938.552296,1739435939.011945,3.107968,3.567617,0.45965,5,7,325,424,65,64,65,52,65.0,60.571,5656.477,7379.527,65,60,13,12,13,0,13.0,8.571,0.0003539919853210449,0.07657849788665771,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000197,0.000136,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 16:38:59.000429,2025-02-13 16:38:59.452493,1739435939.000429,1739435939.452493,3.556101,4.008165,0.452065,18,15,1083,933,65,65,52,52,60.167,62.2,19165.384,16510.899,147,153,13,13,0,0,8.167,10.2,0.026592002195470473,0.029090915407453264,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.207,0.201,0.0,0.0,0.031315,0.028993,0,Normal,0,Normal
