sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg
192.168.95.13,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.13,192.168.95.2,IPV4-TCP,2025-02-13 06:32:39.276657,2025-02-13 06:32:39.753610,1739399559.276657,1739399559.75361,0.5105,0.987453,0.476954,28,32,1806,2042,65,67,64,52,64.5,63.812,30292.243,34250.697,350,378,13,15,12,0,12.5,11.812,0.017654622042620624,0.015378290607083228,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.003,0.041,0.0,0.0,0.000401,0.017577
192.168.95.14,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.14,192.168.95.2,IPV4-TCP,2025-02-13 06:32:39.277213,2025-02-13 06:32:39.754546,1739399559.277213,1739399559.754546,0.511056,0.988389,0.477334,14,20,910,1208,65,64,65,52,65.0,60.4,15251.381,20245.789,182,168,13,12,13,0,13.0,8.4,0.036659845939049356,0.025074682737651625,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.001,0.041,0.001,0.0,0.000984,0.030429
192.168.95.15,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.15,192.168.95.2,IPV4-TCP,2025-02-13 06:32:39.277991,2025-02-13 06:32:39.755326,1739399559.277991,1739399559.755326,0.511834,0.989169,0.477336,14,16,938,1000,67,64,67,52,67.0,62.5,15720.583,16759.684,210,168,15,12,15,0,15.0,10.5,0.03665423393249512,0.03177226384480794,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.004,0.038,0.001,0.0,0.001272,0.033103
192.168.95.2,192.168.95.5,00:0c:29:e0:b6:b9,00:0c:29:07:f9:1e,192.168.95.2,192.168.95.5,IPV4-TCP,2025-02-13 06:32:39.317354,2025-02-13 06:32:39.769418,1739399559.317354,1739399559.769418,0.551197,1.003261,0.452065,23,34,1379,1888,87,64,52,52,59.957,55.529,24403.568,33411.122,135,72,35,12,0,0,5.87,2.118,0.020540183240717106,0.013698910221909031,64.0,64.0,1.0,0.824,0.0,0.0,0.217,0.147,0.261,0.176,0.261,0.176,0.0,0.0,7889.609,5341.529,0.0,0.0,0.0,0.051,0.0,0.0,0.000118,0.00773
192.168.95.10,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.10,192.168.95.2,IPV4-TCP,2025-02-13 06:32:39.786624,2025-02-13 06:32:40.272972,1739399559.786624,1739399560.272972,1.020467,1.506815,0.486349,28,34,1806,2146,65,67,64,52,64.5,63.118,29707.053,35299.743,350,378,13,15,12,0,12.5,11.118,0.01799122492472331,0.014729362545591412,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.824,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.003,0.039,0.0,0.0,0.000529,0.017728
192.168.95.11,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.11,192.168.95.2,IPV4-TCP,2025-02-13 06:32:39.787577,2025-02-13 06:32:40.273753,1739399559.787577,1739399560.273753,1.02142,1.507596,0.486177,28,36,1806,2250,65,67,64,52,64.5,62.5,29717.571,37023.552,350,378,13,15,12,0,12.5,10.5,0.017992143277768737,0.013880143846784319,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.778,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.003,0.041,0.0,0.0,0.000411,0.017961
192.168.95.12,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.12,192.168.95.2,IPV4-TCP,2025-02-13 06:32:39.788236,2025-02-13 06:32:40.274439,1739399559.788236,1739399560.274439,1.022079,1.508282,0.486204,28,32,1806,2042,65,67,64,52,64.5,63.812,29715.91,33599.052,350,378,13,15,12,0,12.5,11.812,0.017995189737390588,0.015675037137923703,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.003,0.041,0.0,0.0,0.000498,0.017823
192.168.95.13,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.13,192.168.95.2,IPV4-TCP,2025-02-13 06:32:39.788840,2025-02-13 06:32:40.275066,1739399559.78884,1739399560.275066,1.022683,1.508909,0.486227,28,36,1806,2250,65,67,64,52,64.5,62.5,29714.526,37019.758,350,378,13,15,12,0,12.5,10.5,0.017993326540346497,0.013884884970528739,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.778,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.001,0.041,0.0,0.0,0.000319,0.018077
192.168.95.14,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.14,192.168.95.2,IPV4-TCP,2025-02-13 06:32:39.789578,2025-02-13 06:32:40.275923,1739399559.789578,1739399560.275923,1.023421,1.509766,0.486346,14,22,910,1312,65,64,65,52,65.0,59.636,14968.765,21581.341,182,168,13,12,13,0,13.0,7.636,0.03731931172884428,0.023120335170200894,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.636,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.001,0.041,0.001,0.0,0.000926,0.029944
192.168.95.15,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.15,192.168.95.2,IPV4-TCP,2025-02-13 06:32:39.790814,2025-02-13 06:32:40.276710,1739399559.790814,1739399560.27671,1.024657,1.510553,0.485897,14,19,938,1156,67,64,67,52,67.0,60.842,15443.599,19032.836,210,168,15,12,15,0,15.0,8.842,0.03708446942842924,0.02695212099287245,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.737,0.0,0.0,0.0,0.0,227.0,457.0,0.0,0.0,0.004,0.038,0.001,0.0,0.001644,0.029806
