sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 20:26:59.601363,2025-02-13 20:27:00.046727,1739449619.601363,1739449620.046727,1.201051,1.646415,0.445365,18,15,1083,933,65,65,52,52,60.167,62.2,19453.707,16759.287,147,153,13,13,0,0,8.167,10.2,0.02619788225959329,0.028914076941353933,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.2,0.199,0.0,0.0,0.031078,0.02883,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 20:27:00.010629,2025-02-13 20:27:00.510551,1739449620.010629,1739449620.510551,1.610317,2.110239,0.499923,12,16,780,988,65,64,65,52,65.0,61.75,12481.921,15810.434,156,156,13,12,13,0,13.0,9.75,0.04538872025229714,0.03332813580830892,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.812,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.493,0.0,0.0,0.000282,0.035969,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 20:27:00.062685,2025-02-13 20:27:00.558909,1739449620.062685,1739449620.558909,1.662373,2.158597,0.496225,5,8,325,476,65,64,65,52,65.0,59.5,5239.559,7673.939,65,60,13,12,13,0,13.0,7.5,0.0005197525024414062,0.07088913236345563,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.625,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.044,0.0,0.0,0.000288,0.007481,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 20:27:00.202181,2025-02-13 20:27:00.642793,1739449620.202181,1739449620.642793,1.801869,2.242481,0.440613,18,15,1083,933,65,65,52,52,60.167,62.2,19663.521,16940.042,147,153,13,13,0,0,8.167,10.2,0.02591834348790786,0.028502634593418667,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.198,0.199,0.0,0.0,0.030863,0.028571,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 20:27:00.510842,2025-02-13 20:27:01.007679,1739449620.510842,1739449621.007679,2.11053,2.607367,0.496838,12,13,780,808,65,64,65,52,65.0,62.154,12559.428,13010.28,156,132,13,12,13,0,13.0,10.154,0.04516699097373269,0.04136141141255697,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.846,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.493,0.0,0.0,0.000172,0.041336,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 20:27:00.801128,2025-02-13 20:27:01.251030,1739449620.801128,1739449621.25103,2.400816,2.850718,0.449903,18,15,1083,933,65,65,52,52,60.167,62.2,19257.482,16590.241,147,153,13,13,0,0,8.167,10.2,0.02645088644588695,0.028904642377580916,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.201,0.203,0.0,0.0,0.031454,0.028919,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 20:27:01.007854,2025-02-13 20:27:01.050624,1739449621.007854,1739449621.050624,2.607542,2.650312,0.042771,5,7,325,424,65,64,65,52,65.0,60.571,60788.982,79306.241,65,60,13,12,13,0,13.0,8.571,0.00031626224517822266,0.007128318150838216,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.041,0.0,0.0,0.000157,0.007007,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 20:27:01.050624,2025-02-13 20:27:01.511246,1739449621.050624,1739449621.511246,2.650312,3.110934,0.460623,8,10,520,616,65,64,65,52,65.0,61.6,9031.245,10698.552,104,96,13,12,13,0,13.0,9.6,0.0004905632563999721,0.051158004336886935,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000269,0.000226,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 20:27:01.400539,2025-02-13 20:27:01.850690,1739449621.400539,1739449621.85069,3.000227,3.450378,0.450152,18,15,1083,933,65,65,52,52,60.167,62.2,19246.834,16581.067,147,153,13,13,0,0,8.167,10.2,0.026452106588027057,0.02876964637211391,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.198,0.2,0.0,0.0,0.031627,0.028843,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 20:27:01.511425,2025-02-13 20:27:01.554684,1739449621.511425,1739449621.554684,3.111113,3.154372,0.04326,5,7,325,424,65,64,65,52,65.0,60.571,60101.842,78409.788,65,60,13,12,13,0,13.0,8.571,0.00038373470306396484,0.0072098175684611005,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.042,0.0,0.0,0.000187,0.007056,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 20:27:01.554693,2025-02-13 20:27:02.012028,1739449621.554693,1739449622.012028,3.154381,3.611716,0.457336,8,10,520,616,65,64,65,52,65.0,61.6,9096.157,10775.447,104,96,13,12,13,0,13.0,9.6,0.0005472728184291295,0.05078755484686957,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000269,0.000242,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 20:27:02.000587,2025-02-13 20:27:02.446630,1739449622.000587,1739449622.44663,3.600275,4.046318,0.446044,18,15,1083,933,65,65,52,52,60.167,62.2,19424.092,16733.775,147,153,13,13,0,0,8.167,10.2,0.026170169605928308,0.0287952082497733,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.198,0.2,0.0,0.0,0.0312,0.028791,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 20:27:02.012230,2025-02-13 20:27:02.512103,1739449622.01223,1739449622.512103,3.611918,4.111791,0.499874,7,10,455,604,65,64,65,52,65.0,60.4,7281.833,9666.433,91,84,13,12,13,0,13.0,8.4,0.08327802022298177,0.05551923645867242,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.496,0.0,0.0,0.000245,0.060223,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 20:27:02.054743,2025-02-13 20:27:02.554687,1739449622.054743,1739449622.554687,3.654431,4.154375,0.499945,8,11,520,668,65,64,65,52,65.0,60.727,8320.916,10689.176,104,96,13,12,13,0,13.0,8.727,0.0004871572766985212,0.049994397163391116,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.044,0.0,0.0,0.000236,0.00504,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 20:27:02.512313,2025-02-13 20:27:02.554678,1739449622.512313,1739449622.554678,4.112001,4.154366,0.042366,3,4,195,244,65,64,65,52,65.0,61.0,36821.915,46074.602,39,36,13,12,13,0,13.0,9.0,0.0005434751510620117,0.014121691385904947,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.041,0.0,0.0,0.000252,0.01387,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 20:27:02.600340,2025-02-13 20:27:03.042886,1739449622.60034,1739449623.042886,4.200028,4.642574,0.442547,18,15,1083,933,65,65,52,52,60.167,62.2,19577.576,16866.0,147,153,13,13,0,0,8.167,10.2,0.02599953202640309,0.02885021482195173,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.199,0.202,0.0,0.0,0.031184,0.028904,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 20:27:03.010496,2025-02-13 20:27:03.510379,1739449623.010496,1739449623.510379,4.610184,5.110067,0.499884,13,16,845,988,65,64,65,52,65.0,61.75,13523.133,15811.663,169,156,13,12,13,0,13.0,9.75,0.04161926110585531,0.03330494562784831,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.812,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.493,0.0,0.0,0.000276,0.035805,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 20:27:03.014401,2025-02-13 20:27:03.514129,1739449623.014401,1739449623.514129,4.614089,5.113817,0.499729,8,11,520,668,65,64,65,52,65.0,60.727,8324.512,10693.797,104,96,13,12,13,0,13.0,8.727,0.07133613313947405,0.04994361400604248,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.493,0.0,0.0,0.000313,0.054499,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 20:27:03.205388,2025-02-13 20:27:03.646848,1739449623.205388,1739449623.646848,4.805076,5.246536,0.441461,18,15,1083,933,65,65,52,52,60.167,62.2,19625.747,16907.5,147,153,13,13,0,0,8.167,10.2,0.025968229069429284,0.028464777129037038,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.197,0.199,0.0,0.0,0.030777,0.028605,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 20:27:03.510933,2025-02-13 20:27:04.010531,1739449623.510933,1739449624.010531,5.110621,5.610219,0.499599,7,9,455,552,65,64,65,52,65.0,61.333,7285.843,8839.088,91,84,13,12,13,0,13.0,9.333,0.08323081334431966,0.06240487098693848,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.778,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.001,0.495,0.0,0.0,0.000339,0.067452,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 20:27:03.514532,2025-02-13 20:27:04.014397,1739449623.514532,1739449624.014397,5.11422,5.614085,0.499866,2,4,130,244,65,64,65,52,65.0,61.0,2080.558,3905.048,26,36,13,12,13,0,13.0,9.0,0.0005478858947753906,0.16662160555521646,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.0,0.499,0.0,0.0,0.000319,0.182215,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 20:27:03.800779,2025-02-13 20:27:04.246732,1739449623.800779,1739449624.246732,5.400467,5.84642,0.445954,18,15,1083,933,65,65,52,52,60.167,62.2,19428.017,16737.156,147,153,13,13,0,0,8.167,10.2,0.02620222989250632,0.02883391720908029,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.198,0.2,0.0,0.0,0.031015,0.029034,0,Normal,0,Normal
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2025-02-13 20:27:04.010976,2025-02-13 20:27:04.510642,1739449624.010976,1739449624.510642,5.610664,6.11033,0.499667,9,12,585,744,65,64,65,52,65.0,62.0,9366.238,11911.934,117,120,13,12,13,0,13.0,10.0,0.06234389543533325,0.04542417959733443,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.833,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.001,0.493,0.0,0.0,0.000361,0.049215,0,Normal,0,Normal
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2025-02-13 20:27:04.014735,2025-02-13 20:27:04.514697,1739449624.014735,1739449624.514697,5.614423,6.114385,0.499963,8,11,520,668,65,64,65,52,65.0,60.727,8320.614,10688.789,104,96,13,12,13,0,13.0,8.727,0.07136327879769462,0.049991297721862796,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,0.0,249.0,251.0,0.0,0.0,0.001,0.494,0.0,0.0,0.00039,0.049262,0,Normal,0,Normal
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2025-02-13 20:27:04.400355,2025-02-13 20:27:04.842732,1739449624.400355,1739449624.842732,6.000043,6.44242,0.442378,18,15,1083,933,65,65,52,52,60.167,62.2,19585.067,16872.454,147,153,13,13,0,0,8.167,10.2,0.025980528663186467,0.0286517824445452,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,0.0,0.0,0.0,250.667,249.8,0.0,0.0,0.199,0.2,0.0,0.0,0.030842,0.028711,0,Normal,0,Normal
