sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg
192.168.95.12,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.12,192.168.95.2,IPV4-TCP,2025-02-12 18:47:21.580201,2025-02-12 18:47:22.062746,1739357241.580201,1739357242.062746,0.517632,1.000177,0.482546,16,16,640,960,40,60,40,60,40.0,60.0,10610.384,15915.577,0,0,0,0,0,0,0.0,0.0,0.03215506871541341,0.03215440114339193,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.000191,
192.168.95.13,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.13,192.168.95.2,IPV4-TCP,2025-02-12 18:47:21.580516,2025-02-12 18:47:22.063076,1739357241.580516,1739357242.063076,0.517947,1.000507,0.482561,16,16,640,960,40,60,40,60,40.0,60.0,10610.059,15915.089,0,0,0,0,0,0,0.0,0.0,0.03215619723002116,0.0321561336517334,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.000194,
192.168.95.14,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.14,192.168.95.2,IPV4-TCP,2025-02-12 18:47:21.580828,2025-02-12 18:47:22.064687,1739357241.580828,1739357242.064687,0.518259,1.002118,0.48386,16,16,640,960,40,60,40,60,40.0,60.0,10581.572,15872.358,0,0,0,0,0,0,0.0,0.0,0.03223779996236165,0.032242806752522786,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.000184,
192.168.95.15,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.15,192.168.95.2,IPV4-TCP,2025-02-12 18:47:21.581197,2025-02-12 18:47:22.064988,1739357241.581197,1739357242.064988,0.518628,1.002419,0.483792,16,16,640,960,40,60,40,60,40.0,60.0,10583.063,15874.595,0,0,0,0,0,0,0.0,0.0,0.03223911921183268,0.03224093119303385,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.000169,
192.168.95.2,192.168.95.5,00:0c:29:e0:b6:b9,00:0c:29:07:f9:1e,192.168.95.2,192.168.95.5,IPV4-TCP,2025-02-12 18:47:21.663206,2025-02-12 18:47:22.115565,1739357241.663206,1739357242.115565,0.600637,1.052996,0.45236,24,36,1431,1992,87,64,52,52,59.625,55.333,25307.28,35228.582,135,72,35,12,0,0,5.625,2.0,0.01965983017631199,0.012924541745867048,64.0,64.0,1.0,0.833,0.0,0.0,0.25,0.167,0.25,0.167,0.25,0.167,0.0,0.0,7579.75,5057.5,0.0,0.0,0.001,0.051,0.0,0.0,0.00013,0.005236
192.168.95.10,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.10,192.168.95.2,IPV4-TCP,2025-02-12 18:47:22.095379,2025-02-12 18:47:22.575511,1739357242.095379,1739357242.575511,1.03281,1.512942,0.480133,16,16,640,960,40,60,40,60,40.0,60.0,10663.715,15995.572,0,0,0,0,0,0,0.0,0.0,0.03198466300964355,0.031989065806070964,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.000267,
192.168.95.11,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.11,192.168.95.2,IPV4-TCP,2025-02-12 18:47:22.095866,2025-02-12 18:47:22.575728,1739357242.095866,1739357242.575728,1.033297,1.513159,0.479863,16,16,640,960,40,60,40,60,40.0,60.0,10669.713,16004.569,0,0,0,0,0,0,0.0,0.0,0.03197658856709798,0.03198126157124837,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.00019,
192.168.95.12,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.12,192.168.95.2,IPV4-TCP,2025-02-12 18:47:22.096182,2025-02-12 18:47:22.575909,1739357242.096182,1739357242.575909,1.033613,1.51334,0.479728,16,16,640,960,40,60,40,60,40.0,60.0,10672.719,16009.079,0,0,0,0,0,0,0.0,0.0,0.03196139335632324,0.0319727897644043,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.00018,
192.168.95.13,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.13,192.168.95.2,IPV4-TCP,2025-02-12 18:47:22.096587,2025-02-12 18:47:22.576125,1739357242.096587,1739357242.576125,1.034018,1.513556,0.479539,16,16,640,960,40,60,40,60,40.0,60.0,10676.922,16015.383,0,0,0,0,0,0,0.0,0.0,0.031950521469116214,0.03195773760477702,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.000172,
192.168.95.14,192.168.95.2,00:0c:29:4b:33:f1,00:0c:29:e0:b6:b9,192.168.95.14,192.168.95.2,IPV4-TCP,2025-02-12 18:47:22.096962,2025-02-12 18:47:22.576353,1739357242.096962,1739357242.576353,1.034393,1.513784,0.479392,16,16,640,960,40,60,40,60,40.0,60.0,10680.193,16020.289,0,0,0,0,0,0,0.0,0.0,0.03194680213928223,0.03194773991902669,64.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29200.0,0.0,0.0,0.0,,0.0,,0.000161,
